player_id,name,team,pos,toi_all,toi5,toi_pp,toi_sh,ev_off,ev_def,pp,sh,penalties,finishing,gar,war,off,def,pp_off,sh_def,goals,ixg,pen_drawn,pen_taken,kind,xg_faced,ga,gsax
8482093,Seth Jarvis,CAR,F,1339.5,898.55,226.5,128.65,2.4391,2.5774,1.206,0.041,1.758,2.7192,10.7408,1.7578,0.1314,-0.1729,0.2468,-0.0346,27.0,28.1067,21.0,8.0,skater,,,
8479542,Brandon Hagel,TBL,F,1650.3167,1173.6167,202.3167,143.7167,5.241,1.6891,-0.5778,-0.0424,0.5583,3.87,10.7382,1.7574,0.2365,-0.0872,-0.2441,0.0023,26.0,26.8437,27.0,23.0,skater,,,
8481624,Ilya Mikheyev,CHI,F,1182.4333,982.3667,14.35,146.8667,-0.2999,2.6807,-0.021,1.2298,-0.3848,7.5165,10.7214,1.7547,-0.0498,-0.1645,-0.1604,-0.5178,18.0,13.8608,5.0,8.0,skater,,,
8475726,Tyler Toffoli,SJS,F,1252.0833,943.5167,214.4333,0.75,1.9039,-1.6072,1.6568,0.0,1.623,7.1427,10.7192,1.7543,0.0896,0.1014,0.3909,-0.0186,28.0,24.4336,19.0,7.0,skater,,,
8478874,Adam Gaudette,OTT,F,809.1333,684.1333,104.1833,4.25,0.2919,0.6835,-0.0228,-0.0007,-0.39,10.1058,10.6676,1.7459,-0.0059,-0.0608,-0.0858,-0.0053,19.0,11.2053,3.0,6.0,skater,,,
8482720,Matthew Knies,TOR,F,1367.5167,1029.7333,170.1167,99.5833,2.3509,0.0421,0.6904,-0.5136,0.5543,7.5226,10.6467,1.7424,0.1055,-0.0033,0.1708,0.294,28.0,24.3834,24.0,20.0,skater,,,
8478864,Kirill Kaprizov,MIN,F,854.55,662.8,121.9,0.3833,1.7119,0.5884,0.6655,-0.0,0.4133,7.1663,10.5454,1.7259,0.1235,-0.0541,0.2549,-0.0087,19.0,14.2745,11.0,8.0,skater,,,
8482740,Wyatt Johnston,DAL,F,1482.2,1043.1667,229.8167,115.0,2.8938,-1.6452,1.9722,-0.2319,0.6897,6.8193,10.4979,1.7181,0.135,0.0938,0.4422,0.1056,32.0,29.4142,12.0,7.0,skater,,,
8480009,Eeli Tolvanen,SEA,F,1115.9167,981.9667,61.9833,37.4167,-0.469,1.0312,-0.1717,0.0779,0.0156,10.008,10.492,1.7171,-0.0601,-0.0638,-0.2389,-0.1404,21.0,14.1794,10.0,10.0,skater,,,
8480459,Pius Suter,VAN,F,1320.9333,966.7,91.5667,169.1833,0.1652,1.2372,0.1262,-0.0745,-0.5166,9.4495,10.387,1.6999,-0.0212,-0.0776,0.01,0.011,22.0,16.3234,5.0,9.0,skater,,,
8482159,Tyson Foerster,PHI,F,1319.05,1028.8167,143.25,69.55,0.2279,2.3499,0.394,-0.1138,0.0185,7.3898,10.2664,1.6802,-0.0182,-0.1379,0.0923,0.0828,24.0,20.3777,18.0,18.0,skater,,,
8480208,Drake Batherson,OTT,F,1434.1833,1070.0667,236.3333,0.7333,0.5919,-0.5395,1.4635,0.0,0.9566,7.6712,10.1437,1.6601,0.0017,0.0294,0.2989,-0.0178,26.0,22.4252,22.0,15.0,skater,,,
8476887,Filip Forsberg,NSH,F,1455.05,1094.5167,233.4167,1.3,3.7084,-1.9135,1.361,0.0003,1.0907,5.8845,10.1315,1.6581,0.1718,0.1041,0.2772,-0.0302,28.0,26.2714,30.0,22.0,skater,,,
8480064,Josh Norris,BUF,F,1027.4,667.9667,162.65,120.1167,-0.8257,-0.2077,-0.4261,-0.0892,0.1482,11.4494,10.0488,1.6446,-0.1057,0.0179,-0.2299,0.0292,20.0,11.4851,18.0,17.0,skater,,,
8479314,Matthew Tkachuk,FLA,F,949.85,713.05,163.4667,1.9,3.2689,0.1758,0.689,0.0006,0.1471,5.7448,10.0263,1.6409,0.2436,-0.0156,0.1802,-0.0355,19.0,15.9682,23.0,22.0,skater,,,
8478498,Jake DeBrusk,VAN,F,1299.9667,1009.3333,186.4333,6.8167,0.1133,-0.5798,0.2524,0.0116,0.8209,9.3381,9.9566,1.6295,-0.0248,0.0337,0.0085,-0.1177,28.0,22.3749,14.0,8.0,skater,,,
8476881,Tomas Hertl,VGK,F,1216.0,943.8333,186.55,9.0167,2.539,0.3465,1.9944,0.0036,-0.2505,5.3026,9.9356,1.6261,0.1299,-0.0228,0.5688,-0.0391,28.0,26.1706,8.0,10.0,skater,,,
8481605,Jackson LaCombe,ANA,D,1600.7,1187.1333,142.5167,143.4333,2.5995,1.1262,-0.2503,0.3733,0.9514,4.9941,9.7944,1.6029,0.1054,-0.0341,-0.2128,-0.2079,14.0,9.5258,11.0,14.0,skater,,,
8481601,Simon Holmstrom,NYI,F,1200.8333,912.3167,124.9167,99.8333,0.7617,1.0263,-0.2444,-0.6084,1.2209,7.4178,9.5739,1.5669,0.0186,-0.0683,-0.1901,0.3502,16.0,12.0121,13.0,4.0,skater,,,
8475754,Brock Nelson,COL,F,1437.45,1094.1333,162.4167,74.2833,1.0112,-0.1888,-0.2016,0.1302,1.0904,7.6042,9.4456,1.5459,0.024,0.0095,-0.1472,-0.1205,26.0,22.5015,17.0,9.0,skater,,,
8478055,Gustav Forsling,FLA,D,1749.2167,1405.8667,19.5167,210.85,2.9755,2.6852,-0.0395,-0.3825,1.7459,2.4466,9.4311,1.5435,0.101,-0.0917,-0.2289,0.0572,9.0,7.1216,10.0,8.0,skater,,,
8475810,Bryan Rust,PIT,F,1347.35,989.9333,173.55,79.95,3.9497,-3.3669,-0.045,-0.1111,0.2865,8.6799,9.393,1.5373,0.2079,0.2033,-0.0883,0.068,28.0,23.1685,11.0,9.0,skater,,,
8482679,Matt Coronato,CGY,F,1293.4167,1039.7667,167.5167,0.45,0.9546,0.7346,0.4578,-0.0,0.5533,6.6716,9.3718,1.5338,0.0236,-0.0432,0.0913,-0.0116,21.0,18.0227,15.0,11.0,skater,,,
8478440,Dylan Strome,WSH,F,1373.7833,1049.9667,226.1833,1.0167,0.1581,-3.85,1.9538,0.0001,-0.5159,11.5855,9.3317,1.5272,-0.0225,0.2192,0.4456,-0.0225,28.0,20.3384,13.0,17.0,skater,,,
8478407,Vince Dunn,SEA,D,1302.5167,1056.1333,133.85,8.9167,3.2915,0.1359,0.6421,0.005,1.1008,4.1245,9.2997,1.522,0.161,0.0151,0.1805,-0.0853,11.0,7.2986,14.0,14.0,skater,,,
8479339,Patrik Laine,MTL,F,692.3,521.5667,133.3667,0.5833,0.23,-1.2371,0.006,-0.0001,-0.1241,10.3565,9.2312,1.5108,-0.005,0.1415,-0.07,-0.0024,20.0,11.6208,6.0,7.0,skater,,,
8482124,Quinton Byfield,LAK,F,1452.05,1105.6167,133.15,115.6,2.4226,0.9924,0.5339,0.3129,0.4217,4.5256,9.2091,1.5072,0.1,-0.0547,0.1679,-0.1778,22.0,21.6218,26.0,23.0,skater,,,
8480748,Kiefer Sherwood,VAN,F,1102.6167,893.3333,56.5667,105.15,0.114,0.3902,-0.0707,0.3458,0.283,8.1212,9.1836,1.503,-0.0238,-0.027,-0.1477,-0.2128,17.0,12.0281,18.0,16.0,skater,,,
8482175,JJ Peterka,BUF,F,1334.8,1021.8,204.2,0.95,1.5963,-3.7781,0.2718,-0.0,0.5539,10.4988,9.1425,1.4963,0.0622,0.221,0.0072,-0.0135,26.0,19.3137,16.0,12.0,skater,,,
8478396,Noah Hanifin,VGK,D,1656.1,1411.1333,99.35,67.35,6.0511,-0.7685,-0.2563,-0.2195,0.9982,3.2902,9.0952,1.4885,0.2313,0.0555,-0.2622,0.1439,10.0,7.2477,4.0,7.0,skater,,,
8481598,Philip Broberg,STL,D,1372.6333,1185.5333,31.8833,91.4333,3.4922,1.9688,-0.1373,-0.0957,1.4276,2.4298,9.0854,1.4869,0.1507,-0.0768,-0.3658,0.0111,8.0,6.016,9.0,7.0,skater,,,
8479323,Adam Fox,NYR,D,1634.0667,1188.7833,191.6,136.3333,5.9436,2.3016,1.9222,-0.4585,0.8458,-1.5886,8.9661,1.4674,0.274,-0.0933,0.4946,0.1501,8.0,10.1193,12.0,16.0,skater,,,
8477493,Aleksander Barkov,FLA,F,1310.1833,885.2667,201.8,94.5,2.1099,2.2148,2.1534,-0.4567,0.5535,2.3827,8.9575,1.466,0.1115,-0.1509,0.5676,0.2745,18.0,19.3595,12.0,8.0,skater,,,
8484166,Adam Fantilli,CBJ,F,1378.6167,1142.8167,122.5,23.3333,-2.7563,-1.9655,-0.6763,0.0285,1.491,12.7535,8.8748,1.4524,-0.1762,0.1024,-0.404,-0.0886,28.0,19.1842,20.0,9.0,skater,,,
8482665,Matty Beniers,SEA,F,1476.0333,1144.85,184.45,37.1667,0.0493,1.1348,-1.042,0.0899,2.0275,6.5779,8.8374,1.4463,-0.0289,-0.0603,-0.4116,-0.1605,20.0,17.638,22.0,7.0,skater,,,
8477960,Adrian Kempe,LAK,F,1494.8167,1091.6167,190.9333,106.0333,0.5169,-0.1299,-0.0992,-0.0021,0.2885,8.2139,8.7881,1.4383,-0.0031,0.0063,-0.1039,-0.0142,29.0,25.0556,20.0,18.0,skater,,,
8476958,Jaccob Slavin,CAR,D,1641.6833,1323.2,11.4667,214.5833,0.7985,3.2468,0.0012,1.5612,1.5212,1.3244,8.4534,1.3835,0.0102,-0.1244,-0.1009,-0.4882,6.0,5.2088,5.0,4.0,skater,,,
8475722,Jason Zucker,BUF,F,1100.35,845.65,194.4833,0.5667,0.8425,-1.1415,0.8435,-0.001,-0.2521,8.1586,8.4499,1.3829,0.0283,0.0802,0.1875,0.0948,21.0,15.9843,14.0,16.0,skater,,,
8483524,Shane Wright,SEA,F,1066.1667,874.5333,141.4,1.45,1.129,-1.3353,0.0056,-0.0007,0.1487,8.4729,8.4203,1.3781,0.046,0.0908,-0.0703,0.0146,19.0,13.5723,10.0,9.0,skater,,,
8481580,Connor McMichael,WSH,F,1326.0,1063.7167,141.2,50.4667,5.0964,-2.6509,0.6572,0.0617,-0.9179,6.1248,8.3714,1.3701,0.256,0.1487,0.2066,-0.0888,26.0,23.6626,11.0,18.0,skater,,,
8476882,Teuvo Teravainen,CHI,F,1331.8667,984.2167,170.1,98.4833,0.7655,0.4248,0.2891,-0.1517,0.0187,6.92,8.2664,1.3529,0.0152,-0.0267,0.0293,0.077,14.0,10.8841,6.0,6.0,skater,,,
8478449,Roope Hintz,DAL,F,1218.5167,855.4,192.2,86.8833,0.8863,-0.3099,2.2165,-0.4581,0.2847,5.5943,8.2138,1.3443,0.0307,0.0209,0.6192,0.3009,24.0,21.8861,17.0,15.0,skater,,,
8479371,Dante Fabbro,CBJ,D,1340.1833,1190.1167,5.2167,96.1333,0.9812,1.1218,0.0053,-0.2242,0.3299,5.9922,8.2062,1.343,0.0234,-0.0337,-0.0468,0.0882,9.0,3.4431,13.0,19.0,skater,,,
8477220,Nate Schmidt,FLA,D,1246.9333,1062.6667,92.6667,52.8167,2.0286,2.9273,0.6249,0.3693,0.7862,1.3974,8.1338,1.3312,0.0885,-0.1424,0.2972,-0.4712,5.0,4.0076,10.0,12.0,skater,,,
